company,rank,term,count
Amazon,1,aws,10
Amazon,2,energy,9
Amazon,3,datanxt,8
Amazon,4,audit,8
Amazon,5,relevant,7
Amazon,6,executive,6
Amazon,7,revenue,6
Amazon,8,usd,6
Amazon,9,billion,6
Amazon,10,risk,5
Amazon,11,answer,5
Amazon,12,efficiency,5
Amazon,13,logistics,5
Amazon,14,delivery,5
Amazon,15,board,5
Amazon,16,local,4
Amazon,17,proxy,4
Amazon,18,documents,4
Amazon,19,based,4
Amazon,20,centers,4
Microsoft,1,water,10
Microsoft,2,digital,9
Microsoft,3,datanxt,8
Microsoft,4,cloud,8
Microsoft,5,emissions,7
Microsoft,6,relevant,6
Microsoft,7,board,6
Microsoft,8,responsible,6
Microsoft,9,transparency,5
Microsoft,10,diversity,5
Microsoft,11,inclusion,5
Microsoft,12,accessibility,5
Microsoft,13,cybersecurity,5
Microsoft,14,safety,5
Microsoft,15,growth,5
Microsoft,16,microsoft's,5
Microsoft,17,waste,5
Microsoft,18,audit,4
Microsoft,19,local,4
Microsoft,20,documents,4
SAP,1,cloud,18
SAP,2,datanxt,7
SAP,3,relevant,6
SAP,4,ethics,6
SAP,5,csrd,6
SAP,6,scope,6
SAP,7,integrated,5
SAP,8,reporting,5
SAP,9,software,5
SAP,10,e-waste,5
SAP,11,engagement,5
SAP,12,emissions,5
SAP,13,metric,5
SAP,14,risks,5
SAP,15,board,5
SAP,16,audit,4
SAP,17,documents,4
SAP,18,answer,4
SAP,19,strategy,4
SAP,20,performance,4
Zalando,1,scope,13
Zalando,2,datanxt,9
Zalando,3,platform,9
Zalando,4,relevant,8
Zalando,5,dsa,7
Zalando,6,risk,6
Zalando,7,emissions,6
Zalando,8,partners,6
Zalando,9,targets,6
Zalando,10,audit,5
Zalando,11,local,5
Zalando,12,agm,5
Zalando,13,inclusion,5
Zalando,14,fashion,5
Zalando,15,risks,5
Zalando,16,documents,4
Zalando,17,corporate,4
Zalando,18,reporting,4
Zalando,19,answer,4
Zalando,20,markets,4
